ID;TITLE;IMG;DESCRIPTION;TIME
"first";"Daržovių sluoksniuotinis";"layered-vegetables.jpg";"Baklažanas, konservuoti pomidorai patiekalui suteikia nekasdieniško skonio, todėl šis daržovių apkepas drąsiai gali būti šventinio stalio dalimi. ypač turėtų nudžiugti vegetarai. Galite valgyti ir su šviežiomis salotomis. Tikras daržovių mėgėjų rojus.";24
"second";"Velykinis keksas";"easter-cake.jpg";"Praėjusių metų Velykoms aš siūliau kepti Velykų pynę, o šiais -  kepinį žavų savo geltonumu, gerą, patikrintą, dosnų ir didelį keksą. Tokiai tešlai galime rasti įvairiausių būsenų ir formų, viskas priklauso nuo to kokiame inde pasirinksime jį kepti: galime daryti keksiukus, galime kepti pailgoje formoje, galime išlieti visai ploną ir susukti vyniotinį ir net mažus sausainėlius galima kepti. Ir aišku, galima iškepti toki uch keksą.";49
"third";"Jautienos didkepsnis";"beef-stake.jpg";"Taigi kokios yra to stebuklingo jautienos didkepsnio stebuklingos kepimo taisyklės? Atsiminkite tik vieną taisyklę – mažiau yra daugiau. Mažiau kepimo laiko, labai labai karšta keptuvė, šiek tiek laiko mėsai pailsėti šiltoje orkaitėje ar tiesiog ant stalo, plačiai atidaryti virtuvės langai ir jokių ten marinavimų, tik geriausios kokybės druska ir pipirai.";9
"fourth";"Vištienos kepsneliai su gardžiuoju marinatu";"vistiena-paruosta.jpg";"Vasara, ateik čia! Klasikinis marinatas mėsai su ruduoju drėgnuoju cukrumi “Farinas”. Marinatas išbandytas su vištiena, bet kepti galite ir kiaulieną, kalakutieną, veršieną, jautieną. ";41
"fifth";"Spurgos-pyragėliai – churros";"BV.jpg";"Tai klasikinių prancūziškų spurgų receptas, kuris nesunkiai galėtų vadintis ir Pietų Amerikos paveldu. Iš tokios plikytos tešlos kepamos ir prancūziškosios beignets, ir meksikietiškosios churros. Spurga yra universalus dalykas ir visam pasaulyje rasite vienokią ar kitokią jos atmainą. Pavyzdžiui, kiekviename Portugalijos turguje būtinai išvysite nors vieną spurgų pardavėją su katilu aliejaus, kibiru tešlos ir dar vienu kibiru cinamoninio cukraus.";35
"sixth";"Ridikėlių ir šviežių bulvių salotos";"ridiku-salotos.jpg";"Čia tikrai ir sočios, ir gardžios, ir traškios salotos su šauniu laiškinių česnakų ir jogurto padažu ir ridikėliais.";11
"seventh";"Grikių blynai su kumpeliu ir žalumynais";"grikiu-blynai.jpg";"Šie blynai iš virtų grikių ir žalumynų, vienoje vietoje viską sulaiko grikių miltai ir kiaušiniai. Vietoj kumpio galite įtarkuoti morkų ar įberti apvirtų žirnelių. Labai tiks netoleruojantiems gliuteno, nes grikiuose jo nė kvapo.";52
"eight";"Varškės apkepas su vyšniomis ir kokosais";"vapkepas.jpg";"Šį apkepą sumaniau, kai turėjau varškės ir 5 minutes laiko, ir visai nenorėjau dėti jokių miltų. Bus šlapias, įdomios tekstūros kepinys.";32
"ninth";"Mažos gėlytės sultenės";"sulteniu-salotos.jpg";"Kiek daug reiškia žodis. Štai pagalvojau, jei sultenės vadintųsi sausenėmis, tai visai kitaip apie jas galvotum. Sultenės yra gana nauja salotų rūšis mums čia, Lietuvoje. Man jos labai patinka ne tik dėl pavadinimo, bet ir dėl savo panašumo į mažas gėlytes ir, tikrąja to žodžio prasme, savo sultingumo ir švelnumo. Iš tiesų, gerų salotų galima gauti lengvai – jų yra įvairiausių.";13
"tenth";"Kepti šparagai su svogūnų laiškais ir feta";"sparagai-svogunai.jpg";"Nuostabiai gardus būdas: kai šitaip pagaminau, tai turiu pasakyt, kad net man neliko. Tikrai taip. Šparagai lengvai paskrudinami alyvuogių aliejuje.";24
"11th";"Migdolinis pyragas su avietėmis";"avieciu-migdolinis.jpg";"Tai klasikinis migdolų ir aviečių derinys. Šventiškas, bet ir lengvai pagaminamas. Dalį baltų miltų pakeiskite maltais migdolais – pyragas bus drėgnas ir intensyvesnio skonio, truputį sunkesnis.";43
"12th";"Figūriniai šventiniai sausainiai su spalvotu citrininiu glaistu";"sausainiai-su-glaistu.jpg";"Sviestiniai sausainiai su vanile – klasikų klasika. Paprasti ir be priekaištų. Aptepti švelnių spalvų glajumi – tikra puošmena Velykų stalui ir geriausia dovana į Velykų bobutės krepšį. Vaikų ir suaugusiųjų traškanti laimė.";53
"13th";"Velykinis kiaulienos vyniotinis su figomis ir obuoliais";"kiaulienos-vyniotinis-obuoliai.jpg";"Kiauliena puikiausiai maloniai tinka su vaisiais. Džiovintos figos pamirkomos obuolių sultyse tampa nuostabiausio įmanomo aromato ir gardumo. Ir puikiai čia įsipaišo patogūs, kvapnūs „Kotanyi“ Provanso prieskonių malūnėliai. Nes figos iš kur??? Iš Provanso (na auga jų ir kitur) ir tikrai kaip pirštinė ir ranka vienas su kitu tinka.";42
"14th";"Keksas – stalo karalius";"stalo-karalius.jpg";"Praėjusių metų Velykoms aš siūliau kepti Velykų pynę, o šiais -  kepinį žavų savo geltonumu, gerą, patikrintą, dosnų ir didelį keksą. Tokiai tešlai galime rasti įvairiausių būsenų ir formų, viskas priklauso nuo to kokiame inde pasirinksime jį kepti: galime daryti keksiukus, galime kepti pailgoje formoje, galime išlieti visai ploną ir susukti vyniotinį ir net mažus sausainėlius galima kepti. Ir aišku, galima iškepti toki uch keksą.";38
"15th";"Daržovių pyragas kaip ispaniška Tortilla";"tortilla.jpg";"Aptepti švelnių spalvų glajumi – tikra puošmena  stalui ir geriausia dovana. Vaikų ir suaugusiųjų traškanti laimė.";51
